ID,优先级,下载决策,队列属性,二级分类,数据集,服务器状态,已取得独立raw,精确时长已审计,已审计时长(h),文献时长(h),实体大小(GB),访问方式,下载方法,官方入口,申请/登录页面,建议路径,决策理由/下一步
EEG-0071,完成,已下载·时长已审计,疾病/临床,Neurological_Disorders,"BNCI 008-2014 (P300 speller, ALS)",COMPLETED,是,是,3.018263888888889,3.018263888888889,,公开/登录后下载,打开官方入口并按页面说明下载,http://bnci-horizon-2020.eu/database/data-sets,,02_Biometrics_and_Disease/Neurological_Disorders/BNCI_008-2014_P300_speller_ALS,无需下载；保持服务器校验记录。
EEG-0063,完成,已下载·时长已审计,疾病/临床,Neurological_Disorders,Clinical BCI Challenge WCCI 2020 (Stroke Motor Attempt),COMPLETED,是,是,2.6666666666666665,2.6666666666666665,,公开/登录后下载,GitHub release/仓库说明中的官方数据入口,https://github.com/5anirban9/Clinical-Brain-Computer-Interfaces-Challenge-WCCI-2020-Glasgow,,02_Biometrics_and_Disease/Neurological_Disorders/Acute_Stroke_Motor_Imagery_EEG_Dataset,无需下载；保持服务器校验记录。
EEG-0094,完成,已下载·时长已审计,疾病/临床,Neurological_Disorders,PD31 (Parkinson),COMPLETED,是,是,2.517777777777778,2.517777777777778,,公开/登录后下载,OpenNeuro 官方页面或 BIDS/OpenNeuro 下载工具,https://openneuro.org/datasets/ds002778,,02_Biometrics_and_Disease/Neurological_Disorders/PD31_Parkinson,无需下载；保持服务器校验记录。
EEG-0047,完成,已下载·时长已审计,疾病/临床,Neurodegenerative_Disorders,"Resting-state high-density EEG using EGI GES 300 for healthy elders, SCD, MCI and Alzheimer's disease",COMPLETED,是,是,1.5,1.5,,需要申请,打开官方入口并按页面说明下载,https://doi.org/10.5281/zenodo.4316608,,02_Biometrics_and_Disease/Neurodegenerative_Disorders/Resting-state_high-density_EEG_using_EGI_GES_300_for_healthy_elders_SCD_MCI_and_Alzheimer_,无需下载；保持服务器校验记录。
EEG-0100,完成,已下载·时长已审计,疾病/临床,Neurological_Disorders,UNMDataset,COMPLETED,是,是,1.4660000000000002,1.4660000000000002,,公开/登录后下载,打开官方入口并按页面说明下载,https://narayanan.lab.uiowa.edu/datasets,,02_Biometrics_and_Disease/Neurological_Disorders/UNMDataset,无需下载；保持服务器校验记录。
EEG-0017,完成,已下载·时长已审计,疾病/临床,Epilepsy_and_Abnormalities,Intracranial entrainment reveals statistical learning across levels of abstraction,COMPLETED,是,是,1.2263498263888888,1.2263498263888888,,公开/登录后下载,Zenodo 官方文件下载/API,https://zenodo.org/records/8018664,,02_Biometrics_and_Disease/Epilepsy_and_Abnormalities/Intracranial_entrainment_reveals_statistical_learning_across_levels_of_abstraction,无需下载；保持服务器校验记录。
EEG-0042,完成,已下载·时长已审计,疾病/临床,Neurodegenerative_Disorders,APAVA,COMPLETED,是,是,0.9208333333333333,0.9208333333333333,,需要申请,缺少有效入口；先补入口,,,02_Biometrics_and_Disease/Neurodegenerative_Disorders/APAVA,无需下载；保持服务器校验记录。
EEG-0010,完成,已下载·时长已审计,疾病/临床,Epilepsy_and_Abnormalities,Criteria for defining interictal epileptiform discharges in EEG: a clinical validation study,COMPLETED,是,是,0.35083333333333333,0.35083333333333333,,公开/登录后下载,Zenodo 官方文件下载/API,https://zenodo.org/records/4688758,,02_Biometrics_and_Disease/Epilepsy_and_Abnormalities/Criteria_for_defining_interictal_epileptiform_discharges_in_EEG_a_clinical_validation_stud,无需下载；保持服务器校验记录。
EEG-0582,完成,已下载·时长已审计,疾病/临床,Clinical_Abnormalities,TUEG (TUH EEG Corpus),COMPLETED_PARENT,是,是,27077.3,,,需要申请,打开官方入口并按页面说明下载,https://isip.piconepress.com/projects/nedc/html/tuh_eeg/,,02_Biometrics_and_Disease/Clinical_Abnormalities/TUEG_TUH_EEG_Corpus,无需下载；保持服务器校验记录。
EEG-0036,排除,已下载·TUEG 重叠,疾病/临床,Epilepsy_and_Abnormalities,TUSZ (TUH Seizure),COMPLETED,否,否,1474.7872222222222,1474.7872222222222,,需要申请,打开官方入口并按页面说明下载,https://isip.piconepress.com/projects/nedc/html/tuh_eeg/,,02_Biometrics_and_Disease/Epilepsy_and_Abnormalities/TUSZ_TUH_Seizure,保留子集目录，但总时长/人数不与 TUEG 父库重复相加。
EEG-0107,排除,已下载·TUEG 重叠,疾病/临床,Clinical_Abnormalities,TUAB (TUH Abnormal),COMPLETED,否,否,1141.0022222222221,1141.0022222222221,,需要申请,打开官方入口并按页面说明下载,https://isip.piconepress.com/projects/nedc/html/tuh_eeg/,,02_Biometrics_and_Disease/Clinical_Abnormalities/TUAB_TUH_Abnormal,保留子集目录，但总时长/人数不与 TUEG 父库重复相加。
EEG-0033,排除,已下载·TUEG 重叠,疾病/临床,Epilepsy_and_Abnormalities,TUEP (TUH Epilepsy),COMPLETED,否,否,626.7663888888889,626.7663888888889,,需要申请,打开官方入口并按页面说明下载,https://isip.piconepress.com/projects/nedc/html/tuh_eeg/,,02_Biometrics_and_Disease/Epilepsy_and_Abnormalities/TUEP_TUH_Epilepsy,保留子集目录，但总时长/人数不与 TUEG 父库重复相加。
EEG-0034,排除,已下载·TUEG 重叠,疾病/临床,Epilepsy_and_Abnormalities,TUEV (TUH Events),COMPLETED,否,否,148.7447222222222,148.7447222222222,,需要申请,打开官方入口并按页面说明下载,https://isip.piconepress.com/projects/nedc/html/tuh_eeg/,,02_Biometrics_and_Disease/Epilepsy_and_Abnormalities/TUEV_TUH_Events,保留子集目录，但总时长/人数不与 TUEG 父库重复相加。
EEG-0007,排除,已下载·非独立 raw,疾病/临床,Epilepsy_and_Abnormalities,BEED,COMPLETED,否,否,,88.88888888888889,,公开/登录后下载,GitHub release/仓库说明中的官方数据入口,https://github.com/renan-cunha/BEED,,02_Biometrics_and_Disease/Epilepsy_and_Abnormalities/BEED,仅有 processed features/protocol；不计入 raw EEG 主指标。
EEG-0035,排除,已下载·TUEG 重叠,疾病/临床,Epilepsy_and_Abnormalities,TUSL (TUH Slowing),COMPLETED,否,否,27.59638888888889,27.59638888888889,,需要申请,打开官方入口并按页面说明下载,https://isip.piconepress.com/projects/nedc/html/tuh_eeg/,,02_Biometrics_and_Disease/Epilepsy_and_Abnormalities/TUSL_TUH_Slowing,保留子集目录，但总时长/人数不与 TUEG 父库重复相加。
EEG-0050,排除,已下载·非独立 raw,疾病/临床,Mental_and_Developmental_Disorders,Autism Detection Dataset,COMPLETED,否,否,,,,公开/登录后下载,打开官方入口并按页面说明下载,https://bci.med.tsinghua.edu.cn/download.html,,02_Biometrics_and_Disease/Mental_and_Developmental_Disorders/Autism_Detection_Dataset,下载内容未确认可用 EEG signal；不计入 raw EEG 主指标。
EEG-0602,舍弃,舍弃,疾病/临床,Epilepsy_and_Seizure_Monitoring,SeizeIT1,NOT_IN_SERVER_AUDIT,否,否,,5900,,当前不可获取,打开官方入口并按页面说明下载,https://rdr.kuleuven.be/dataset.xhtml?persistentId=doi:10.48804/P5Q0OJ,,02_Healthcare_and_Disease/Epilepsy_and_Seizure_Monitoring/SeizeIT1,舍弃下载：SeizeIT1 当前官方文件访问不可用；可用 SeizeIT2 替代。
EEG-0011,舍弃,舍弃,疾病/临床,Epilepsy_and_Abnormalities,EPILEPSIAE European Epilepsy Database,MANUAL_APPLICATION_OR_LOGIN,否,否,,,,需要申请,打开官方入口并按页面说明下载,https://www.epilepsiae.eu/,,02_Biometrics_and_Disease/Epilepsy_and_Abnormalities/EPILEPSIAE_European_Epilepsy_Database,舍弃下载：EPILEPSIAE 为付费/受限申请；保留目录证据，不进入本轮执行队列。
EEG-0051,舍弃,舍弃,疾病/临床,Mental_and_Developmental_Disorders,B-SNIP1,MANUAL_APPLICATION_OR_LOGIN,否,否,,,,公开/登录后下载,打开官方入口并按页面说明下载,https://nda.nih.gov/edit_collection.html?id=2274,,02_Biometrics_and_Disease/Mental_and_Developmental_Disorders/B-SNIP1,舍弃下载：NIMH NDA 登录/受控访问未能打通；保留 B-SNIP1 目录记录。
EEG-0053,舍弃,舍弃,疾病/临床,Mental_and_Developmental_Disorders,EEG Data for ADHD,MANUAL_APPLICATION_OR_LOGIN,否,否,,,,公开/登录后下载,打开官方入口并按页面说明下载,https://ieee-dataport.org/open-access/eeg-data-adhd-control-children,,02_Biometrics_and_Disease/Mental_and_Developmental_Disorders/EEG_Data_for_ADHD,舍弃下载：IEEE DataPort 需要学校订阅且当前无法取得；保留 ADHD 目录记录。
